document,chunk,text,question
a-faithful-contract,0,"The Lion of the North, Gustav II Adolf, is building Sweden into one of the most feared powers in Europe.",Who is known for transforming Sweden into a formidable European power?
a-faithful-contract,1,"In January 1625, the Swedish king signs a contract with the Dutch master shipwright Henrik Hybertsson and his business partner, Arendt de Groote.",What was the purpose of the contract signed between the Swedish king and the Dutch shipwright in January 1625?
a-faithful-contract,2,They are to build four new ships.,How many new ships are planned to be built?
a-faithful-contract,3,"One of them, Vasa, is to be the most powerful warship in the Baltic, if not the world.",What was intended to be the most powerful warship in the Baltic region?
a-faithful-contract,4,It is the beginning of one of the most spectacular fiascos in Swedish history.,What event marks the start of a significant failure in Swedish history?
the-master-of-shipwright-fades-away,0,"Vasa´s keel is laid in the late winter at Skeppsgården, the navy yard, in Stockholm.",When was the foundation of Vasa's construction started at the naval shipyard in Stockholm?
the-master-of-shipwright-fades-away,1,"Master Henrik Hybertsson, already ill when construction starts, can no longer supervise the other shipwrights by the summer and has to hand over responsibility for the new ship to his assistant, Hein Jakobsson.",Why did Master Henrik Hybertsson have to relinquish control over the construction of the new ship?
the-master-of-shipwright-fades-away,2,"Barely a year later, Vasa´s designer is dead.",What happened to the designer of Vasa less than two years after its creation?
the-machine-of-war-is-launched,0,"The king´s newest and most powerful ship, Vasa, is launched in the spring and hundreds of craftsmen work through the summer to finish the hull and rigging.","What season was the king's strongest ship, Vasa, launched, and when did craftsmen complete its construction and equipment?"
the-machine-of-war-is-launched,1,"When completed, it is 69 metres long and more than 50 metres tall from the keel to the top of the main mast.",How tall is the structure from its base to the very top?
the-machine-of-war-is-launched,2,"The ship weighs over 1200 tonnes once outfitted with ten sails, 64 cannons, 120 tonnes of ballast and hundreds of sculptures.",What features contribute to the weight of the ship once fully equipped?
the-machine-of-war-is-launched,3,A giant of a ship of its time is born.,What was considered a massive ship when it was launched?
the-admiral-does-not-listen-to-the-warning-bells,0,"The captain supervising the construction of Vasa, Söfring Hansson, calls Vice Admiral Klas Fleming down to the ship, moored at the royal palace, because he is worried.",Why did the captain overseeing the Vasa's construction summon the Vice Admiral to the ship?
the-admiral-does-not-listen-to-the-warning-bells,1,He has thirty men run back and forth across the deck and the ship rolls alarmingly.,Why does the ship start to roll alarmingly?
the-admiral-does-not-listen-to-the-warning-bells,2,"The Admiral has the demonstration stopped, afraid the ship will sink at the quay.",Why did the Admiral decide to halt the demonstration?
the-admiral-does-not-listen-to-the-warning-bells,3,"Under pressure from the king to get the ship to sea, he orders Söfring to sail anyway.",Why did he order Söfring to set sail despite the pressure from the king?
the-admiral-does-not-listen-to-the-warning-bells,4,"Months later, Vasa sets off on its first and last voyage.",What happened to Vasa on its maiden voyage?
the-shortest-maiden-voyage-in-history?,0,"1,300 metres and no farther.",How far can one go in this context?
the-shortest-maiden-voyage-in-history?,1,"Still within sight of the shipyard where it was built, Vasa heels to port under a gust and water gushes in through the open gun-ports.",What caused the ship to tilt and take in water while it was still close to the shipyard where it was constructed?
the-shortest-maiden-voyage-in-history?,2,"Within minutes, the ship is lying on the sea bed 32 metres below.",How deep did the ship sink below the sea level?
the-shortest-maiden-voyage-in-history?,3,"Thousands of Stockholm´s inhabitants witness the tragic scene, together with several foreign ambassadors.",What significant event in Stockholm was observed by many of its residents and numerous foreign ambassadors?
the-shortest-maiden-voyage-in-history?,4,What began in hope and ambition ends in tragedy.,How does a journey that starts with optimism and goals ultimately conclude?
the-perfect-scapegoat,0,A fearful Royal Council writes to tell the king of the disaster.,What prompted the Royal Council to write to the king?
the-perfect-scapegoat,1,An inquest is launched.,What is the purpose of launching an inquest?
the-perfect-scapegoat,2,The ship´s officers claim innocence.,Do the ship's officers believe they are not to blame?
the-perfect-scapegoat,3,The builders are adamant that they built the ship according to the design the king approved.,Did the builders construct the ship according to the design approved by the king?
the-perfect-scapegoat,4,"The experts believe the ship had too little belly, not enough hull to carry the heavy upper works.",Why do experts think the ship sank?
the-perfect-scapegoat,5,"The blame falls on the designer, Henrik Hybertsson, for the poor proportions.",Who is responsible for the poor design of the ship?
the-perfect-scapegoat,6,"Master Henrik, dead more than a year, cannot defend himself and does not need to be punished.",Why is it unnecessary to punish someone who has been deceased for over a year?
